Offset(V)     Pid     Handle     Access Type             Details
0x812d6e08    868      0x284   0x1f0003 Event            
0x812d6dd8    868      0x288   0x1f0003 Event            
0x812fd278    868      0x28c   0x1f0003 Event            
0xe1570558    868      0x290   0x1f0001 Port             SmSsWinStationApiPort
0x812fd248    868      0x294   0x1f0003 Event            
0x81804778    868      0x298   0x12019f File             \Device\Termdd
0x812fd218    868      0x29c   0x1f0003 Event            
0xe1c79630    868      0x2a0    0xf003f Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\WINSOCK2\PARAMETERS\PROTOCOL_CATALOG9
0x812fd1e8    868      0x2a4   0x1f0003 Event            
0xe158c720    868      0x2a8    0xf003f Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\WINSOCK2\PARAMETERS\NAMESPACE_CATALOG5
0xe1cb5ae0    868      0x2ac   0x1f0001 Port             
0xe1cb7228    868      0x2b0   0x1f0001 Port             
0x812d8088    868      0x2b4   0x1f0001 Mutant           
0x81884d28    868      0x2b8   0x12019f File             \Device\Termdd
0x812d8348    868      0x2bc   0x1f0003 Event            WinMMConsoleAudioEvent
0x81312bf0    868      0x2c0   0x12019f File             \Device\Termdd
0x81616ab8    868      0x2c4   0x1f0fff Process          csrss.exe(612)
0x814c9b40    868      0x2c8   0x1f0fff Process          winlogon.exe(636)
0x81612368    868      0x2cc   0x1f0003 Event            ReconEvent
0x81303da0    868      0x2d0   0x1f0003 Event            TermSrv:  machine GP event
0x814cc518    868      0x2d4   0x12019f File             \Device\NamedPipe\Ctx_WinStation_API_service
0x818e6da8    868      0x2d8   0x12019f File             \Device\NamedPipe\Ctx_WinStation_API_service
0x812dd398    868      0x2dc   0x1f0003 Event            
0x812c98b8    868      0x2e0   0x1f03ff Thread           TID 1864 PID 868
0x812f3c18    868      0x2e4   0x1f0003 Event            
0x81624e08    868      0x2e8   0x100000 Event            userenv: Machine Group Policy has been applied
0x812c8020    868      0x2ec   0x1f03ff Thread           TID 1968 PID 868
0xe1d23090    868      0x2f0    0x20019 Key              MACHINE\SOFTWARE\POLICIES\MICROSOFT\WINDOWS NT\TERMINAL SERVICES
0xe1d230f8    868      0x2f4    0x20019 Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\TERMINAL SERVER
0xe18bc330    868      0x2f8    0x20019 Key              MACHINE\SOFTWARE\POLICIES
0x812e3020    868      0x2fc   0x1f0003 Event            
0x812e3138    868      0x300   0x1f0003 Event            
0x812cecb8    868      0x304   0x1f0003 Event            
0xe1cbf4d0    868      0x308   0x1f0001 Port             
0x812c8da8    868      0x30c   0x1f03ff Thread           TID 1988 PID 868
0xe1cc2020    868      0x310   0x1f0001 Port             
0xe1cc1f68    868      0x314   0x1f0001 Port             
0x812f9e48    868      0x318   0x100003 Event            
0xe19087d0    868      0x31c    0xf01ff Token            
0x812f3cc8    868      0x320   0x1f0003 Event            
0x818a56d8    868      0x324   0x12019f File             \Device\Termdd
0x812dd020    868      0x328   0x1f03ff Thread           TID 1856 PID 868
0xe158c470    868      0x32c   0x1f0001 Port             
0xe1542310    868      0x334   0x1f0001 Port             
0xe17928a0    868      0x338   0x1f0001 Port             
0x812c3a60    868      0x348   0x100003 Event            
0xe1000080    944        0x4    0x20003 KeyedEvent       CritSecOutOfMemoryEvent
0xe15b28e8    944        0x8        0x3 Directory        KnownDlls
0x818b5c68    944        0xc   0x100020 File             \Device\HarddiskVolume1\WINDOWS\system32
0x817a0ad0    944       0x10   0x100003 Semaphore        
0xe15969c8    944       0x14    0xf000f Directory        Windows
0xe19ec610    944       0x18  0x21f0001 Port             
0x818b5858    944       0x1c   0x100003 Semaphore        
0xe164d468    944       0x20    0x2000f Directory        BaseNamedObjects
0x8149cf60    944       0x24   0x1f0001 Mutant           SHIMLIB_LOG_MUTEX
0xe176d6f8    944       0x28  0x2020019 Key              MACHINE
0x818b5720    944       0x2c    0xf037f WindowStation    Service-0x0-3e4$
0x817a0a40    944       0x30  0x21f0003 Event            
0x817a0998    944       0x34    0xf01ff Desktop          Default
0x818b5720    944       0x38    0xf037f WindowStation    Service-0x0-3e4$
0x817a0e40    944       0x3c   0x1f0003 Event            
0x817a0890    944       0x40   0x100003 Semaphore        
0x817a0858    944       0x44   0x100003 Semaphore        
0xe19dcaf0    944       0x48    0x20019 Key              MACHINE\SOFTWARE\MICROSOFT\WINDOWS NT\CURRENTVERSION\DRIVERS32
0x817a0828    944       0x4c   0x1f0003 Event            
0x817a0c50    944       0x50   0x100001 File             \Device\KsecDD
0x817a07f8    944       0x54   0x1f0003 Event            
0xe19ece50    944       0x58    0x20019 Key              MACHINE\SOFTWARE\MICROSOFT\WINDOWS NT\CURRENTVERSION\DRIVERS32
0x81724c80    944       0x5c   0x100002 Semaphore        shell.{A48F1A32-A340-11D1-BC6B-00A0C90312E1}
0x8179fb38    944       0x60   0x1f0003 Event            
0x817a0460    944       0x64   0x100020 File             \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x8179f9f8    944       0x68   0x1f0003 Event            
0x8179f9c8    944       0x6c   0x1f0003 Event            
0x817a0620    944       0x70   0x12019f File             \Device\NamedPipe\net\NtControlPipe4
0x8179f020    944       0x74   0x1f0003 Event            
0x817a0020    944       0x78   0x1f03ff Thread           TID 948 PID 944
0x8179f828    944       0x7c   0x1f0003 Event            
0xe173db18    944       0x80   0x1f0001 Port             
0x8179f5b0    944       0x84   0x1f03ff Thread           TID 952 PID 944
0x8179f460    944       0x88   0x1f0003 Event            
0x8179f4f0    944       0x8c   0x1f0003 Event            
0x8179f490    944       0x90   0x1f0003 Event            
0x8179f430    944       0x94   0x1f0003 Event            
0x817a07b0    944       0x98   0x1f0003 IoCompletion     
0x8179f3e8    944       0x9c   0x1f0003 IoCompletion     
0x817a07b0    944       0xa0   0x1f0003 IoCompletion     
0xe19eceb8    944       0xa4  0x20f003f Key              USER\S-1-5-20_CLASSES
0xe19ebcc8    944       0xa8    0x20019 Key              MACHINE\SOFTWARE\CLASSES\CLSID
0x8179f3b8    944       0xac   0x1f0003 Event            
0xe19eb930    944       0xb0    0x20019 Key              MACHINE\SOFTWARE\CLASSES\APPID
0x8179f388    944       0xb4   0x1f0003 Event            
0x8179f318    944       0xb8   0x1f0003 Event            
0x8179f2e8    944       0xbc   0x1f0003 Event            
0x8179fc98    944       0xc0   0x100000 File             \Device\Dfs
0xe17781a8    944       0xc4   0x1f0001 Port             
0xe19aaea8    944       0xc8    0x20019 Key              MACHINE\SOFTWARE\MICROSOFT\OLE
0x8179f288    944       0xcc   0x1f0003 Event            
0x8179f258    944       0xd0   0x1f0003 Event            
0xe19ea1b0    944       0xd4       0x10 Key              MACHINE\SOFTWARE\MICROSOFT\OLE
0x81470f68    944       0xd8   0x1f0003 Timer            
0x8179f2b8    944       0xdc  0x21f0003 Event            
0x8179e020    944       0xe0   0x1f03ff Thread           TID 956 PID 944
0x8179f188    944       0xe4   0x1f0003 IoCompletion     
0x81471f68    944       0xe8   0x1f0003 Timer            
0x8179eb30    944       0xec   0x1f03ff Thread           TID 964 PID 944
0xe19f2960    944       0xf0    0x20019 Key              MACHINE\SOFTWARE\POLICIES
0x81471f00    944       0xf4   0x1f0003 Event            
0xe19f28f8    944       0xf8       0x10 Key              MACHINE\SOFTWARE\POLICIES
0x81472658    944       0xfc   0x1f0003 Event            
0xe19aa8c0    944      0x100   0x1f0001 Port             epmapper
0x81472628    944      0x104   0x1f0003 Event            
0x8179e8b8    944      0x108   0x1f03ff Thread           TID 968 PID 944
0x814725b8    944      0x10c   0x100003 Event            
0x81471260    944      0x110   0x1f0003 Event            
0x8179f5b0    944      0x114   0x1f03ff Thread           TID 952 PID 944
0xe19ac020    944      0x118    0x20019 Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\WINSOCK2\PARAMETERS\PROTOCOL_CATALOG9
0x81473b20    944      0x11c   0x1f0003 Event            
0xe19f2828    944      0x120    0x20019 Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\WINSOCK2\PARAMETERS\NAMESPACE_CATALOG5
0x81473af0    944      0x124   0x1f0003 Event            
0x81657c18    944      0x128   0x1f01ff File             \Device\Tcp
0x818bb590    944      0x12c   0x1f01ff File             \Device\Afd\Endpoint
0xe1310020    944      0x130   0x1f0001 Port             
0xe1cb1c50    944      0x134   0x1f0001 Port             
0xe1c22020    944      0x138   0x1f0001 Port             
0xe1c29de0    944      0x13c        0xc Token            
0xe107b860    944      0x140        0xc Token            
0x818b48e8    944      0x144   0x1f01ff File             \Device\Afd\Endpoint
0x818b4660    944      0x148   0x1f0003 Event            
0x818b43e8    944      0x14c   0x1f03ff Thread           TID 976 PID 944
0x818b4318    944      0x150   0x160089 File             \Device\NamedPipe\Winsock2\CatalogChangeListener-3b0-0
0x818b4288    944      0x154   0x1f0003 Event            
0x818b41a8    944      0x158   0x1f01ff File             \Device\Afd\Endpoint
0x818b43e8    944      0x15c   0x1f03ff Thread           TID 976 PID 944
0x813a1020    944      0x160   0x1f0003 Event            
0x813a1f90    944      0x164   0x1f01ff File             \Device\Afd\Endpoint
0x813a1a50    944      0x168   0x120116 File             \Device\Tcp
0x813a1920    944      0x16c   0x1200a0 File             \Device\Tcp
0x813a16f0    944      0x170   0x1200a0 File             \Device\Ip
0x813a1658    944      0x174   0x100003 File             \Device\Ip
0x813a15c0    944      0x178   0x1200a0 File             \Device\Ip
0x8157f208    944      0x17c   0x100003 Semaphore        
0x813a1278    944      0x180   0x100003 Semaphore        
0xe19f27c0    944      0x184    0x20019 Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\TCPIP\LINKAGE
0xe19f2890    944      0x188    0x20019 Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\TCPIP\PARAMETERS
0xe19f2758    944      0x18c    0x20019 Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\NETBT\PARAMETERS\INTERFACES
0xe19f22e8    944      0x190    0x20019 Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\NETBT\PARAMETERS
0x813a11b0    944      0x194   0x1200a0 File             \Device\Tcp
0x813a13c8    944      0x198   0x1f0003 Event            ScmCreatedEvent
0x813a1078    944      0x19c   0x1f0003 Event            
0x813a1320    944      0x1a0   0x1f01ff File             \Device\Afd\Endpoint
0x813a13f8    944      0x1a4   0x1f0003 Event            
0xe19f39f0    944      0x1a8   0x1f0001 Port             
0xe19f3eb8    944      0x1ac   0x1f0001 Port             
0x816b7690    944      0x1b0   0x1f0003 Event            
0xe1c14de0    944      0x1b4    0xf01ff Token            
0xe1ebed08    944      0x1b8   0x1f0001 Port             
0xe1f0eda8    944      0x1bc    0xf01ff Token            
0xe1f542a8    944      0x1c0    0x20019 Key              MACHINE\SOFTWARE\CLASSES
0xe1f54240    944      0x1c4    0x20019 Key              MACHINE\SOFTWARE\CLASSES
0x81683f80    944      0x1c8   0x1f0003 Event            
0xe1f58fb8    944      0x1cc    0x20019 Key              MACHINE\SOFTWARE\MICROSOFT\COM3
0x81683f50    944      0x1d0   0x1f0003 Event            
0xe1f58f50    944      0x1d4       0x10 Key              USER
0x81683f20    944      0x1d8   0x1f0003 Event            
0xe1f58ee8    944      0x1dc    0x20019 Key              MACHINE\SOFTWARE\CLASSES
0x81683ef0    944      0x1e0   0x1f0003 Event            
0xe1f55218    944      0x1e4       0x10 Key              USER
0x81683ec0    944      0x1e8   0x1f0003 Event            
0xe1f58e80    944      0x1ec    0x20019 Key              MACHINE\SOFTWARE\MICROSOFT\COM3
0x81683e90    944      0x1f0   0x1f0003 Event            
0xe1f55178    944      0x1f4    0x20019 Key              MACHINE\SOFTWARE\MICROSOFT\COM3
0x8136c498    944      0x1f8   0x1f0003 Event            
0xe1f58de0    944      0x1fc    0x20019 Key              MACHINE\SOFTWARE\CLASSES\CLSID
0x8136c468    944      0x200   0x1f0003 Event            
0xe1f57fb8    944      0x204    0x20019 Key              MACHINE\SOFTWARE\CLASSES
0x8136c438    944      0x208   0x1f0003 Event            
0xe1f58d40    944      0x20c    0x20019 Key              MACHINE\SOFTWARE\MICROSOFT\COM3
0x8136c408    944      0x210   0x1f0003 Event            
0xe1f57f18    944      0x214       0x10 Key              USER
0x8136c3d8    944      0x218   0x1f0003 Event            
0xe1f58ca0    944      0x21c    0x20019 Key              MACHINE\SOFTWARE\MICROSOFT\COM3
0x8136c370    944      0x220   0x1f0003 Event            
0xe1f57e78    944      0x224    0x20019 Key              MACHINE\SOFTWARE\MICROSOFT\COM3
0x8136c308    944      0x228   0x1f0003 Event            
0xe1f58c00    944      0x22c    0x20019 Key              MACHINE\SOFTWARE\CLASSES\CLSID
0x8136c2a0    944      0x230   0x1f0003 Event            
0x8136b828    944      0x234   0x12019f File             \Device\NamedPipe\epmapper
0x8136b790    944      0x238   0x12019f File             \Device\NamedPipe\epmapper
0x81683500    944      0x23c   0x1f0003 Event            
0x816834d0    944      0x240   0x1f0003 Event            
0x816834a0    944      0x244   0x1f0003 Event            
0x81683470    944      0x248   0x1f0003 Event            
0x81683440    944      0x24c   0x1f0003 Event            
0xe1c02458    944      0x250   0x1f0001 Port             
0x8179eb30    944      0x254   0x1f03ff Thread           TID 964 PID 944
0x81381168    944      0x258   0x1f0003 Event            
0x81381138    944      0x25c   0x1f0003 Event            
0x8179eb30    944      0x260   0x1f03ff Thread           TID 964 PID 944
0x81381108    944      0x264   0x1f0003 Event            
0xe17b8488    944      0x268   0x1f0001 Port             
0xe1923d80    944      0x26c   0x1f0001 Port             
0xe17dad48    944      0x270    0xf01ff Token            
0x8193eaf0    944      0x274   0x1f0003 Event            
0x8190c3f8    944      0x278   0x1f0003 Event            
0x816096d8    944      0x27c   0x1f0003 Event            
0x8190c3c8    944      0x280   0x1f0003 Event            
0xe17af5a0    944      0x284        0xc Token            
0xe179c400    944      0x288   0x1f0001 Port             
0x814a8148    944      0x28c   0x1f0003 Event            
0xe17e49b0    944      0x290   0x1f0001 Port             
0xe17baba8    944      0x294   0x1f0001 Port             
0x817220c0    944      0x298   0x1f0003 Event            
0x815240b0    944      0x29c   0x1f0003 Event            
0xe17b1710    944      0x2a0    0xf01ff Token            
0xe1ec0160    944      0x2a4   0x1f0001 Port             
0xe1598a68    944      0x2a8   0x1f0001 Port             
0xe1029bd8    944      0x2ac    0xf01ff Token            
0x81524240    944      0x2b0   0x1f0003 Event            
0xe1c914f0    944      0x2b4   0x1f0001 Port             
0x816fe400    944      0x2b8   0x1f0003 Event            
0xe1ce5030    944      0x2bc    0xf01ff Token            
0x812ab3e8    944      0x2c0   0x1f0003 Event            
0x81355a38    944      0x2c4   0x1f0003 Event            
0x8130c670    944      0x2c8   0x1f0003 Event            
0xe15f8408    944      0x2cc   0x1f0001 Port             
0xe1943bd8    944      0x2d0    0xf01ff Token            
0x8167cf78    944      0x2d4   0x1f0003 Event            
0xe18d9940    944      0x2d8    0xf01ff Token            
0x8192e5c8    944      0x2dc   0x1f0003 Event            
0x81607530    944      0x2e0   0x1f0003 Event            
0x8191c860    944      0x2e4   0x1f0003 Event            
0x81904f80    944      0x2e8   0x1f0003 Event            
0x81904f00    944      0x2ec   0x1f0003 Event            
0x816058c8    944      0x2f0   0x1f0003 Event            
0x8191c830    944      0x2f4   0x1f0003 Event            
0x8165ec88    944      0x2f8   0x1f0003 Event            
0x8165ec28    944      0x2fc   0x1f0003 Event            
0x81901728    944      0x300   0x1f0003 Event            
0xe1ec4f68    944      0x308   0x1f0001 Port             
0x8193d558    944      0x30c   0x1f0003 Event            
0x812a8a00    944      0x310   0x1f0003 Event            
0xe17ded28    944      0x314   0x1f0001 Port             
0x81883268    944      0x318   0x1f0003 Event            
0x81883238    944      0x31c   0x1f0003 Event            
0x81883208    944      0x320   0x1f0003 Event            
0x8193e510    944      0x324   0x1f0003 Event            
0x8193e540    944      0x328   0x1f0003 Event            
0x8193c968    944      0x32c   0x1f0003 Event            
0x8193c938    944      0x330   0x1f0003 Event            
0x8132ed48    944      0x334   0x1f0003 Event            
0x81622ce8    944      0x338   0x1f0003 Event            
0x8132ece8    944      0x33c   0x1f0003 Event            
0x8132ed78    944      0x340   0x1f0003 Event            
0x8192e158    944      0x344   0x1f0003 Event            
0x814edd48    944      0x348   0x1f0003 Event            
0x81805cd0    944      0x34c   0x1f0003 Event            
0x8161e678    944      0x350   0x1f0003 Event            
0xe176b6b0    944      0x354   0x1f0001 Port             
0xe18b9870    944      0x358        0xc Token            
0xe170f728    944      0x35c    0xf01ff Token            
0xe1c6a380    944      0x360   0x1f0001 Port             
0xe1754d68    944      0x364        0xc Token            
0x8171f970    944      0x368   0x1f0003 Event            
0xe1333e48    944      0x36c   0x1f0001 Port             
0x816624e0    944      0x370   0x1f0003 Event            
0x812ab3b8    944      0x374   0x1f0003 Event            
0xe1cabcb8    944      0x378    0xf01ff Token            
0x812ab388    944      0x37c   0x1f0003 Event            
0x815c6b60    944      0x380   0x1f0003 Event            
0xe1834700    944      0x384   0x1f0001 Port             
0x814de888    944      0x388   0x1f0003 Event            
0x812ab418    944      0x38c   0x1f0003 Event            
0x81729840    944      0x390   0x1f03ff Thread           TID 820 PID 944
0x81313718    944      0x394   0x1f0003 Event            
0x812ab448    944      0x398   0x1f0003 Event            
0x814de7e8    944      0x39c   0x1f0003 Event            
0xe1e37b38    944      0x3a0   0x1f0001 Port             
0xe181e2e0    944      0x3a4   0x1f0001 Port             
0x816839d0    944      0x3a8   0x1f0003 Event            
0x81929c80    944      0x3ac   0x1f0003 Event            
0xe1899a18    944      0x3b0   0x1f0001 Port             
0xe1d85de8    944      0x3b4   0x1f0001 Port             
0x8131d0f0    944      0x3b8   0x1f0003 Event            
0xe1d07c20    944      0x3bc   0x1f0001 Port             
0x812a87e0    944      0x3c0   0x1f0003 Event            
0x81354828    944      0x3c4   0x1f0003 Event            
0x818a5398    944      0x3c8   0x1f0003 Event            
0x8165e230    944      0x3cc   0x1f0003 Event            
0x814d8da8    944      0x3d0   0x1f03ff Thread           TID 1000 PID 944
0x813554e8    944      0x3d4   0x1f0003 Event            
0xe1384458    944      0x3d8   0x1f0001 Port             
0x81924db0    944      0x3dc   0x1f0003 Event            
0xe18b1f68    944      0x3e0   0x1f0001 Port             
0x81940660    944      0x3e4   0x1f0003 Event            
0xe1d8d878    944      0x3ec        0xc Token            
0x813130c8    944      0x3f0   0x1f0003 Event            
0x818f1cc8    944      0x3f4   0x1f0003 Event            
0x8189d480    944      0x3f8   0x1f0003 Event            
0x81683020    944      0x3fc   0x1f03ff Thread           TID 908 PID 944
0x81329640    944      0x400   0x1f03ff Thread           TID 4060 PID 944
0xe1cffbf8    944      0x404   0x1f0001 Port             
0x813550b0    944      0x408   0x1f0003 Event            
0xe181fb58    944      0x40c   0x1f0001 Port             
0x814caff0    944      0x410   0x1f0003 Event            
0xe1cabf68    944      0x414   0x1f0001 Port             
0x812ab358    944      0x418   0x1f0003 Event            
0x8187f190    944      0x41c   0x1f0003 Event            
0x812d3400    944      0x424   0x100003 Event            
0x812ab328    944      0x428   0x1f0003 Event            
0x812d3588    944      0x42c   0x1f0003 Event            
0x812d3958    944      0x430   0x1f0003 Event            
0x812ab2f8    944      0x434   0x1f0003 Event            
0x812ab2c8    944      0x438   0x1f0003 Event            
0x812a8400    944      0x43c   0x1f0003 Event            
0x812aaf00    944      0x440   0x1f0003 Event            
0xe183bab0    944      0x444   0x1f0001 Port             
0xe12c53a0    944      0x448   0x1f0001 Port             
0xe155b868    944      0x450   0x1f0001 Port             
0x81683020    944      0x454   0x1f03ff Thread           TID 908 PID 944
0x812a1be0    944      0x460   0x1f0003 Event            
0xe1000080   1040        0x4    0xf0003 KeyedEvent       CritSecOutOfMemoryEvent
0xe15b28e8   1040        0x8        0x3 Directory        KnownDlls
0x813a0c98   1040        0xc   0x100020 File             \Device\HarddiskVolume1\WINDOWS\system32
0x816b94c0   1040       0x10  0x21f0003 Event            
0xe15969c8   1040       0x14    0xf000f Directory        Windows
0xe19f4468   1040       0x18  0x21f0001 Port             
0x818edb48   1040       0x1c    0xf016e WindowStation    Service-0x0-3e7$
0x818198f0   1040       0x20    0xf00cf Desktop          Default
0x818edb48   1040       0x24    0xf016e WindowStation    Service-0x0-3e7$
0x813a07a8   1040       0x28   0x100003 Semaphore        
0x816b93d8   1040       0x2c   0x100003 Semaphore        
0xe19d0640   1040       0x30  0x20f003f Key              MACHINE
0x816b9b78   1040       0x34   0x100001 File             \Device\KsecDD
0xe164d468   1040       0x38    0x2000f Directory        BaseNamedObjects
0x81624c60   1040       0x3c   0x1f0003 Event            userenv:  User Profile setup event
0x81624ab8   1040       0x40   0x1f0003 Event            crypt32LogoffEvent
0x816b9398   1040       0x44   0x1f0001 Mutant           
0x816b9d68   1040       0x48   0x1f0003 Event            
0x816b9358   1040       0x4c   0x1f0001 Mutant           
0x816b9328   1040       0x50   0x1f0003 Event            
0x816b92f8   1040       0x54   0x1f0003 Event            
0x81724c80   1040       0x58   0x1f0003 Semaphore        shell.{A48F1A32-A340-11D1-BC6B-00A0C90312E1}
0x818b1cf0   1040       0x5c   0x1f0003 Event            
0x818b1dd0   1040       0x60   0x100020 File             \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x814727b8   1040       0x64   0x12019f File             \Device\WMIDataDevice
0x818b19c8   1040       0x68   0x1f0003 Event            
0x818bb100   1040       0x6c      0xa84 WmiGuid          
0x81472338   1040       0x70   0x12019f File             \Device\WMIDataDevice
0x818b1958   1040       0x74   0x1f0003 Event            
0x813a0458   1040       0x78   0x1f0fff Process          MsMpEng.exe(1040)
0x818b1928   1040       0x7c   0x1f0003 Event            
0x818b18f8   1040       0x80   0x1f0003 Event            
0x818b1288   1040       0x84   0x100003 Event            
0x815c3b10   1040       0x88      0xa84 WmiGuid          
0x818b10e0   1040       0x8c   0x12019f File             \Device\NamedPipe\net\NtControlPipe5
0x818b0fb0   1040       0x90   0x1f0003 Event            
0x818b0f80   1040       0x94   0x1f0003 Event            
0x818b0f50   1040       0x98   0x1f0003 Event            
0x818b0f20   1040       0x9c   0x1f0003 Event            
0x816b9020   1040       0xa0   0x1f03ff Thread           TID 1044 PID 1040
0x818b0ef0   1040       0xa4   0x1f0003 Event            
0xe19f7020   1040       0xa8   0x1f0001 Port             
0x8156cb98   1040       0xac   0x1f0003 Semaphore        
0x8156cb60   1040       0xb0   0x1f0003 Semaphore        
0x818b0e90   1040       0xb4   0x1f0003 Event            
0x813a12c0   1040       0xb8   0x1f0003 Semaphore        shell.{210A4BA0-3AEA-1069-A2D9-08002B30309D}
0xe19f3ca0   1040       0xbc  0x20f003f Key              USER\.DEFAULT
0xe19f4f78   1040       0xc0    0x20019 Key              MACHINE\SOFTWARE\POLICIES\MICROSOFT
0xe19dc3f0   1040       0xc4    0x2001f Key              MACHINE\SOFTWARE\MICROSOFT\MICROSOFT ANTIMALWARE
0xe19f8d90   1040       0xc8    0x2001f Key              MACHINE\SOFTWARE\MICROSOFT\MICROSOFT ANTIMALWARE
0x818b0e60   1040       0xcc   0x1f0003 Event            
0x813a1570   1040       0xd0   0x1f0003 IoCompletion     
0x818b0950   1040       0xd4   0x1f0003 IoCompletion     
0x813a1570   1040       0xd8   0x1f0003 IoCompletion     
0x818b0e30   1040       0xdc   0x1f0003 Event            
0x818b1880   1040       0xe0   0x1f0003 Semaphore        
0x818b05b8   1040       0xe4   0x1f0003 Timer            
0x818b0840   1040       0xe8  0x21f0003 Event            
0x818b0340   1040       0xec   0x1f03ff Thread           TID 1056 PID 1040
0x818b02f8   1040       0xf0   0x1f0003 IoCompletion     
0x816b8f68   1040       0xf4   0x1f0003 Timer            
0x816b8cf0   1040       0xf8   0x1f03ff Thread           TID 1064 PID 1040
0x816b8c48   1040       0xfc   0x1f0003 Event            
0x816b8c18   1040      0x100   0x1f0003 Event            
0x81624e08   1040      0x104   0x100000 Event            userenv: Machine Group Policy has been applied
0x816b89a0   1040      0x108   0x1f03ff Thread           TID 1068 PID 1040
0x816b88f8   1040      0x10c   0x1f0003 Event            
0xe19f8d28   1040      0x110       0x10 Key              MACHINE\SOFTWARE\MICROSOFT\MICROSOFT ANTIMALWARE
0x816b8850   1040      0x114   0x1f0003 Semaphore        
0x818b0748   1040      0x118   0x12008d File             \Device\HarddiskVolume1\Documents and Settings\All Users\Application Data\Microsoft\Microsoft Antimalware\Support\MPLog-12262009-215633.log
0x818af020   1040      0x11c   0x1f03ff Thread           TID 1072 PID 1040
0x8156cbd0   1040      0x120   0x1f0003 Semaphore        
0x8156cb28   1040      0x124   0x1f0003 Semaphore        
0x8156caf0   1040      0x128   0x1f0003 Semaphore        
0x818b09c0   1040      0x12c   0x120089 File             \Device\HarddiskVolume1\WINDOWS\system32\kernel32.dll
0x8156ca80   1040      0x130   0x1f0003 Semaphore        
0x8156c698   1040      0x134   0x1f0003 Semaphore        
0x8156c9d8   1040      0x138   0x12019f File             \Device\HarddiskVolume1\Documents and Settings\All Users\Application Data\Microsoft\Microsoft Antimalware\MpScanCache-1.bin
0xe19f3f80   1040      0x13c    0xf0007 Section          
0x818afd38   1040      0x140   0x120089 File             \Device\HarddiskVolume1\WINDOWS\system32\kernel32.dll
0x8138c3e8   1040      0x144   0x1f0003 Event            
0x818b0b68   1040      0x148   0x1f0003 Event            
0x818b1560   1040      0x14c   0x1f0003 Event            MpSvcEvent-E77123B7-1039-5A96-1049-25CC5C482FD7
0x818b0b30   1040      0x150   0x100003 Semaphore        
0x818b0af8   1040      0x154   0x100003 Semaphore        
0x8138c568   1040      0x158   0x100003 Semaphore        
0x8138c530   1040      0x15c   0x100003 Semaphore        
0x8138c4f8   1040      0x160   0x100003 Semaphore        
0x8138c4c0   1040      0x164   0x100003 Semaphore        
0x8138c488   1040      0x168   0x100003 Semaphore        
0x8138c450   1040      0x16c   0x100003 Semaphore        
0x8138c418   1040      0x170   0x100003 Semaphore        
0x8138cc18   1040      0x174   0x100003 Semaphore        
0x8138cbe0   1040      0x178   0x100003 Semaphore        
0x8138cba8   1040      0x17c   0x100003 Semaphore        
0x8138cb40   1040      0x180   0x1f0003 Event            
0x8138cb10   1040      0x184   0x1f0003 Event            
0x8138cad8   1040      0x188   0x1f0003 Semaphore        
0x8138cff0   1040      0x18c   0x1f0003 Event            
0x8138cfc0   1040      0x190   0x1f0003 Event            
0x8138cf90   1040      0x194   0x1f0003 Event            
0x8138cf60   1040      0x198   0x1f0003 Event            
0x8156b020   1040      0x19c   0x1f03ff Thread           TID 1108 PID 1040
0x8138cb70   1040      0x1a0   0x1f0003 Semaphore        
0x8156bad0   1040      0x1a4   0x1f0003 Event            
0x8156baa0   1040      0x1a8   0x1f0003 Event            
0x8156b828   1040      0x1ac   0x1f03ff Thread           TID 1116 PID 1040
0x8156b7f8   1040      0x1b0   0x1f0003 Event            
0x8156b7b8   1040      0x1b4   0x1f0001 Mutant           
0x8156b788   1040      0x1b8   0x1f0003 Event            
0x8156b758   1040      0x1bc   0x1f0003 Event            
0x8156b4e0   1040      0x1c0   0x1f03ff Thread           TID 1120 PID 1040
0x8156b470   1040      0x1c4   0x1f0003 Event            
0x8156b430   1040      0x1c8   0x1f0001 Mutant           
0x8156b400   1040      0x1cc   0x1f0003 Event            
0x8156b3c0   1040      0x1d0   0x1f0001 Mutant           
0x8156b390   1040      0x1d4   0x1f0003 Event            
0x8156b350   1040      0x1d8   0x1f0001 Mutant           
0x8156b320   1040      0x1dc   0x1f0003 Event            
0x8156b2e0   1040      0x1e0   0x1f0001 Mutant           
0x8156b2b0   1040      0x1e4   0x1f0003 Event            
0x816a6020   1040      0x1e8   0x1f0001 Mutant           
0x816a6ff0   1040      0x1ec   0x1f0003 Event            
